City,Country,Latitude,Longitude,Max_temp_F,Humidity_Percent,Cloudy_Percent,Wind_Speed_mph,Date
Jamestown,United States,42.1,-79.24,36.0,86,1,9.17,2020-12-10 23:43:38
Kapaa,United States,22.08,-159.32,82.4,69,1,6.93,2020-12-10 23:44:19
Fortuna,United States,40.6,-124.16,52.0,81,40,1.99,2020-12-10 23:45:35
Castro,Brazil,-24.79,-50.01,61.61,92,20,5.12,2020-12-10 23:42:38
San,Mali,13.3,-4.9,75.13,20,0,10.74,2020-12-10 23:44:11
Raahe,Finland,64.68,24.48,27.0,86,90,5.82,2020-12-10 23:45:35
Nemuro,Japan,43.32,145.57,37.78,75,11,5.03,2020-12-10 23:43:13
Kabanjahe,Indonesia,3.1,98.49,77.0,94,40,3.36,2020-12-10 23:45:36
Nome,United States,64.5,-165.41,-0.4,70,1,8.05,2020-12-10 23:45:36
Butaritari,Kiribati,3.07,172.79,82.08,75,95,7.67,2020-12-10 23:45:37
Leningradskiy,Russia,69.38,178.42,0.84,87,0,9.06,2020-12-10 23:45:37
Rikitea,French Polynesia,-23.12,-134.97,77.25,81,40,13.89,2020-12-10 23:45:37
Chauk,Myanmar,20.88,94.82,65.3,81,6,3.89,2020-12-10 23:45:37
Khatanga,Russia,71.97,102.5,-32.78,84,95,7.67,2020-12-10 23:45:38
Kumul,China,42.8,93.45,16.68,88,48,1.79,2020-12-10 23:45:39
Samarai,Papua New Guinea,-10.62,150.67,83.41,70,92,5.32,2020-12-10 23:45:39
Bethel,United States,41.37,-73.41,39.0,69,1,4.7,2020-12-10 23:41:02
Hambantota,Sri Lanka,6.12,81.12,75.25,80,89,12.33,2020-12-10 23:45:39
Mataura,New Zealand,-46.19,168.86,53.01,73,98,11.99,2020-12-10 23:45:39
Cayenne,French Guiana,4.93,-52.33,77.0,100,90,2.24,2020-12-10 23:42:05
Waiouru,New Zealand,-39.48,175.67,62.19,50,27,13.13,2020-12-10 23:45:40
Kaitangata,New Zealand,-46.28,169.85,51.01,68,100,14.0,2020-12-10 23:45:41
Hermanus,South Africa,-34.42,19.23,63.0,88,70,5.57,2020-12-10 23:45:41
Hithadhoo,Maldives,-0.6,73.08,81.59,77,1,13.47,2020-12-10 23:44:02
Cabo,Brazil,-8.28,-35.03,78.8,69,20,8.05,2020-12-10 23:45:41
Sitka,United States,57.05,-135.33,46.4,42,20,12.75,2020-12-10 23:45:42
Coquimbo,Chile,-29.95,-71.34,60.8,67,0,9.17,2020-12-10 23:43:16
Mossamedes,Angola,-15.2,12.15,65.64,76,51,6.24,2020-12-10 23:45:43
Tual,Indonesia,-5.67,132.75,84.18,70,18,5.01,2020-12-10 23:45:43
Barrow,United States,71.29,-156.79,-5.8,76,90,9.17,2020-12-10 23:45:43
Saskylakh,Russia,71.92,114.08,-17.81,86,100,12.26,2020-12-10 23:45:43
Las,Poland,49.74,19.43,30.0,2,73,10.0,2020-12-10 23:45:44
Roald,Norway,62.58,6.13,44.6,61,87,12.75,2020-12-10 23:45:44
Yangi Marg`ilon,Uzbekistan,40.43,71.72,32.0,85,98,6.93,2020-12-10 23:45:45
Tuatapere,New Zealand,-46.13,167.68,53.01,73,85,11.99,2020-12-10 23:45:45
Bluff,New Zealand,-46.6,168.33,53.01,73,73,11.99,2020-12-10 23:45:45
Airai,Timor-Leste,-8.93,125.41,72.84,74,86,0.65,2020-12-10 23:45:45
Kawalu,Indonesia,-7.38,108.21,77.05,83,90,0.16,2020-12-10 23:45:46
Carnarvon,Australia,-24.87,113.63,75.2,100,68,14.99,2020-12-10 23:45:46
Safaga,Egypt,26.73,33.94,59.0,62,0,4.81,2020-12-10 23:43:07
Eyl,Somalia,7.98,49.82,72.73,56,7,14.7,2020-12-10 23:45:46
Tasiilaq,Greenland,65.61,-37.64,23.0,45,47,8.05,2020-12-10 23:45:46
Bathsheba,Barbados,13.22,-59.52,78.8,74,20,12.75,2020-12-10 23:45:46
Yellowknife,Canada,62.46,-114.35,-0.4,84,75,9.17,2020-12-10 23:45:47
Weiser,United States,44.25,-116.97,44.6,48,1,4.7,2020-12-10 23:45:47
Yar-Sale,Russia,66.83,70.83,-1.41,92,96,14.03,2020-12-10 23:45:47
Mukhen,Russia,48.1,136.1,15.96,94,100,5.95,2020-12-10 23:45:47
Hilo,United States,19.73,-155.09,84.2,58,40,16.11,2020-12-10 23:44:00
Punta,Philippines,8.99,125.34,81.41,76,36,4.63,2020-12-10 23:45:48
Vaini,Tonga,-21.2,-175.2,84.2,74,40,13.87,2020-12-10 23:45:48
El Puerto de Santa María,Spain,36.59,-6.23,64.4,88,75,16.11,2020-12-10 23:41:19
Lebu,Chile,-37.62,-73.65,55.99,86,0,7.92,2020-12-10 23:45:49
Quelimane,Mozambique,-17.88,36.89,75.2,88,20,2.3,2020-12-10 23:45:49
Batticaloa,Sri Lanka,7.71,81.69,76.64,79,22,7.96,2020-12-10 23:45:49
Qaanaaq,Greenland,77.48,-69.36,13.55,92,100,5.12,2020-12-10 23:45:49
Arraial,Brazil,-22.84,-46.65,75.2,64,0,13.87,2020-12-10 23:45:50
Kuytun,Russia,54.34,101.5,-2.0,89,97,5.86,2020-12-10 23:45:50
Norman,United States,35.22,-97.44,71.6,21,1,10.29,2020-12-10 23:45:50
Aklavik,Canada,68.22,-135.01,-5.8,76,90,3.36,2020-12-10 23:45:51
Stromness,United Kingdom,58.97,-3.3,46.4,81,99,32.21,2020-12-10 23:45:51
Ushuaia,Argentina,-54.8,-68.3,59.0,51,75,23.04,2020-12-10 23:44:27
Eenhana,Namibia,-17.47,16.33,71.1,24,15,5.03,2020-12-10 23:45:51
Colombo,Sri Lanka,6.93,79.85,73.4,94,0,4.7,2020-12-10 23:45:51
Alakurtti,Russia,66.97,30.35,28.99,94,96,2.89,2020-12-10 23:45:52
Saint Paul Harbor,United States,57.79,-152.41,26.6,73,75,3.36,2020-12-10 23:45:52
Adré,Chad,13.47,22.2,68.68,22,100,12.88,2020-12-10 23:45:52
Ponta,Portugal,38.73,-28.27,60.55,97,77,23.29,2020-12-10 23:45:52
Busselton,Australia,-33.65,115.33,77.0,61,50,4.0,2020-12-10 23:45:52
Nikolskoye,Russia,59.7,30.79,18.0,78,0,11.18,2020-12-10 23:45:53
Hobart,Australia,-42.88,147.33,64.0,47,75,12.75,2020-12-10 23:45:43
Cervo,Spain,43.67,-7.41,60.01,96,100,21.99,2020-12-10 23:45:53
Zapolyarnyy,Russia,69.42,30.81,30.2,92,75,11.41,2020-12-10 23:45:54
New,Liberia,6.65,-10.59,78.8,94,75,0.63,2020-12-10 23:42:23
Presidente,Brazil,-29.95,-50.11,70.92,83,2,16.37,2020-12-10 23:45:54
Longyearbyen,Svalbard and Jan Mayen Islands,78.22,15.64,15.8,66,75,6.93,2020-12-10 23:45:28
Bereda,Spain,43.27,-7.54,59.0,100,100,11.99,2020-12-10 23:45:54
Kouroussa,Guinea,10.65,-9.88,74.28,29,0,1.61,2020-12-10 23:45:55
Muskogee,United States,35.58,-95.33,68.0,28,1,11.41,2020-12-10 23:45:55
Saint-François,France,46.42,3.91,44.01,93,90,8.05,2020-12-10 23:45:56
Okha,Russia,53.57,142.95,12.78,96,100,7.61,2020-12-10 23:45:56
Hong Kong,Hong Kong,22.29,114.16,70.0,85,45,5.21,2020-12-10 23:43:42
Klamath,United States,42.67,-121.75,44.6,36,75,12.75,2020-12-10 23:45:56
Sepuka,Tanzania,-4.75,34.53,64.65,85,84,1.72,2020-12-10 23:45:57
Albany,United States,42.6,-73.97,37.99,72,2,5.39,2020-12-10 23:44:35
Shimoda,Japan,34.67,138.95,55.4,82,75,10.29,2020-12-10 23:45:57
College,United States,64.86,-147.8,3.2,84,75,1.12,2020-12-10 23:45:57
Katsuura,Japan,35.13,140.3,51.01,81,75,6.93,2020-12-10 23:45:58
Arlit,Niger,18.74,7.39,73.87,21,0,5.44,2020-12-10 23:45:58
Thompson,Canada,55.74,-97.86,1.4,84,20,3.36,2020-12-10 23:45:58
